Episode,Steps,TotalReward,AverageLoss,Epsilon,GoalAchieved
1,1552,-0.0347,0.545198,0.2351,False
2,1227,-0.0253,0.096487,0.2241,False
3,1621,-0.0666,0.098825,0.2105,False
4,1820,-0.0621,0.176821,0.1965,False
5,1905,-0.0304,0.153306,0.1832,False
6,2355,0.0058,0.121360,0.1684,False
7,1352,0.0429,0.116236,0.1607,False
8,1230,0.0787,0.114080,0.1541,False
9,1249,-0.0083,0.124545,0.1478,False
10,903,0.0070,0.118692,0.1435,False
11,836,-0.0306,0.130976,0.1396,False
12,1017,-0.0064,0.131334,0.1352,False
13,2034,-0.0350,0.124787,0.1270,False
14,1643,-0.0446,0.149834,0.1209,False
15,1081,0.0062,0.180546,0.1172,False
16,1597,-0.0464,0.189537,0.1120,False
17,1655,0.0484,0.222605,0.1071,False
18,1845,0.0361,0.236075,0.1021,False
19,3371,0.0415,0.248966,0.0940,False
20,1881,0.0275,0.266222,0.0900,False
21,1730,-0.0309,0.274255,0.0867,False
22,2159,0.1037,0.264053,0.0830,False
23,6374,0.2440,0.248486,0.0740,False
24,1,66.8175,2.417199,0.0574,False
